"Year_Month","AAPL.Coeff","AXP.Coeff","BA.Coeff","CAT.Coeff","CSCO.Coeff","CVX.Coeff","DIS.Coeff","DOW.Coeff","GS.Coeff","HD.Coeff","IBM.Coeff","INTC.Coeff","JNJ.Coeff","JPM.Coeff","KO.Coeff","MCD.Coeff","MMM.Coeff","MRK.Coeff","MSFT.Coeff","NKE.Coeff","PFE.Coeff","PG.Coeff","TRV.Coeff","UNH.Coeff","UTX.Coeff","V.Coeff","VZ.Coeff","WBA.Coeff","WMT.Coeff","XOM.Coeff"
20071,"Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","0.0160211157250963","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","0.0217283784584413","-0.0260351005318774","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant"
20081,"-0.0314505035310704","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","0.0205549023380294","Not Significant","Not Significant","Not Significant","Not Significant","0.0376579868428013","Not Significant","-0.0239836962594822","Not Significant","Not Significant","-0.0155743480333811","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","-0.00892854789462018"
20111,"Not Significant","Not Significant","Not Significant","-0.0164625330735817","Not Significant","Not Significant","Not Significant","Not Significant","0.0155089894721814","Not Significant","-0.0171946668122858","Not Significant","Not Significant","0.0210820321220358","-0.0108888199404961","Not Significant","Not Significant","Not Significant","-0.0153289281361742","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant"
20121,"-0.0207125234404139","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","0.0186440769488305","Not Significant","Not Significant","0.0152532536195637","Not Significant","0.0264223318297124","Not Significant","Not Significant","Not Significant","Not Significant","0.0213774595906035","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant"
20131,"Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","-0.0256859122311045","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant"
20141,"Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","0.0189993070229707","Not Significant","Not Significant","Not Significant","-0.00935543165567783","Not Significant","Not Significant","Not Significant","0.0172931690920794","Not Significant","-0.00906477390616254","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant"
20171,"Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","-0.0105836774825867","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","-0.0118900515625925","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant"
20181,"Not Significant","0.0118890326681543","Not Significant","Not Significant","Not Significant","0.0184599093245101","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","0.0152535774794144","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant"
20191,"Not Significant","0.00804333992559163","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","0.0326511932764573","Not Significant","Not Significant","Not Significant","Not Significant","0.0148082369504222","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","0.00642378589831889"
20201,"Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","-0.0287804805351304","Not Significant","-0.00901375855454095","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","-0.0143959629025799","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant"
20101,"-0.0156782694235486","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","0.0182796202956872","Not Significant","-0.0130577449816733","Not Significant","Not Significant","0.0207486401196085","Not Significant","-0.00918917613512556","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","-0.0138055702635198","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant"
20161,"Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","0.00561293818035817","Not Significant","Not Significant","0.00898653558123738","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","-0.00896181700198873","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant"
20091,"Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","0.0263534887867276","-0.0109013456409217","Not Significant","Not Significant","Not Significant","0.0426326454926349","Not Significant","-0.00794783350532073","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","0.0207006324993332","Not Significant","Not Significant","Not Significant","-0.0069908329137802"
20151,"-0.0264054990445456","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant"
200710,"-0.0353697094464361","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","0.0210691901486241","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","0.0270760034124014","Not Significant"
200810,"Not Significant","Not Significant","Not Significant","-0.00761419907409306","Not Significant","-0.00638320130584098","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","0.0140615137148756","Not Significant","Not Significant","Not Significant","Not Significant","-0.00729968398480299","Not Significant","0.0052788365887306","0.00374653815366044","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant"
200910,"Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","0.016757866295107","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","-0.00822281500899623","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant"
201010,"-0.0126824180313421","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","0.0167308876949329","Not Significant","Not Significant","Not Significant","Not Significant","0.0285576213998493","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","0.00586303469112781"
201210,"Not Significant","Not Significant","Not Significant","Not Significant","-0.0128439653027601","Not Significant","Not Significant","Not Significant","0.0164321952701209","Not Significant","-0.0172734263747513","-0.0171348321463657","Not Significant","0.0103524567384008","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant"
201310,"Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","0.0190348290690182","Not Significant","Not Significant","Not Significant","Not Significant"
201410,"Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","0.0132915233636532","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","0.00766014454984193"
201510,"Not Significant","Not Significant","Not Significant","0.0117736562285912","0.00810431743634578","0.00992815155982518","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","0.00779111703335825","Not Significant","-0.00767219807633107","Not Significant","Not Significant","-0.0110961001986163","Not Significant","Not Significant","-0.0124228605362326","Not Significant","Not Significant","Not Significant","-0.0190264314249499","Not Significant","Not Significant"
201810,"-0.00742067803756497","Not Significant","Not Significant","Not Significant","-0.00445943255080318","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","0.00942178559949025","0.00565154946085547","Not Significant","Not Significant","Not Significant","-0.0109705187686214","Not Significant","Not Significant","Not Significant","0.0104857363441548","Not Significant","Not Significant","-0.0129436518030249","Not Significant","Not Significant","Not Significant","0.00711158023968382"
201910,"Not Significant","Not Significant","Not Significant","0.0103148179044203","Not Significant","0.0100740571251541","Not Significant","Not Significant","0.00976088847187558","Not Significant","Not Significant","Not Significant","-0.018546205668123","0.00806495858236301","Not Significant","Not Significant","0.0107204248217453","Not Significant","-0.00798131073673423","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","-0.0119512577818598","Not Significant","Not Significant","Not Significant","0.0089505151820062"
201110,"Not Significant","0.0102381634182217","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","0.0250670808866341","Not Significant","-0.0107861270020101","Not Significant","Not Significant","0.0230739546273234","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant"
