"Year_Month","AAPL.Coeff","AXP.Coeff","BA.Coeff","CAT.Coeff","CSCO.Coeff","CVX.Coeff","DIS.Coeff","DOW.Coeff","GS.Coeff","HD.Coeff","IBM.Coeff","INTC.Coeff","JNJ.Coeff","JPM.Coeff","KO.Coeff","MCD.Coeff","MMM.Coeff","MRK.Coeff","MSFT.Coeff","NKE.Coeff","PFE.Coeff","PG.Coeff","TRV.Coeff","UNH.Coeff","UTX.Coeff","V.Coeff","VZ.Coeff","WBA.Coeff","WMT.Coeff","XOM.Coeff"
20071,"Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","0.0310831242206349","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","-0.0506809809796009","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","0.0199804204744829","Not Significant","Not Significant","Not Significant","Not Significant","-0.0270348166601937","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","0.0355344912440776"
20081,"Not Significant","Not Significant","-0.0290287343833066","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","-0.0186631600390412","Not Significant","Not Significant","Not Significant"
20111,"Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","0.0256710109357808","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","0.020687396761695","Not Significant"
20121,"Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","0.0292661177045141","Not Significant","Not Significant","Not Significant","0.0227580585452641","Not Significant","Not Significant","Not Significant","0.0343797362383928","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant"
20131,"Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","0.0183499662241364","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","-0.0337393997364813","Not Significant","Not Significant","Not Significant","0.0161849476990281"
20141,"Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","-0.0182429514811317","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","-0.0143548989842794","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant"
20171,"Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant"
20181,"Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","0.0444730402102864","Not Significant","Not Significant","Not Significant","Not Significant","0.0132948010686614","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","-0.0117070462200575"
20191,"Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant"
20201,"0.0213318763465403","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","-0.0159898822960662","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","-0.0185355498832841","Not Significant"
