"Year_Month","AAPL.Coeff","AXP.Coeff","BA.Coeff","CAT.Coeff","CSCO.Coeff","CVX.Coeff","DIS.Coeff","DOW.Coeff","GS.Coeff","HD.Coeff","IBM.Coeff","INTC.Coeff","JNJ.Coeff","JPM.Coeff","KO.Coeff","MCD.Coeff","MMM.Coeff","MRK.Coeff","MSFT.Coeff","NKE.Coeff","PFE.Coeff","PG.Coeff","TRV.Coeff","UNH.Coeff","UTX.Coeff","V.Coeff","VZ.Coeff","WBA.Coeff","WMT.Coeff","XOM.Coeff"
20168,"Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","0.0148442127868976","Not Significant","Not Significant","-0.011470467702562","Not Significant","Not Significant","Not Significant","Not Significant","-0.0146049694757214","Not Significant","Not Significant","Not Significant","-0.0450650069595114","Not Significant","Not Significant","Not Significant","0.0097064895139829","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant"
20178,"Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","-0.0241696492348138","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant"
20188,"-0.0343947386808863","Not Significant","Not Significant","Not Significant","0.0219324560500087","0.0177889804879629","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","-0.0373477399468596","Not Significant","-0.0145940054486994","Not Significant","Not Significant","Not Significant","0.0187618521402103","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","0.0169922282436172","0.0462734514078671","0.0171074831463843"
20198,"Not Significant","0.0320846266742829","Not Significant","Not Significant","0.0762379268102349","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","0.0232130974476715","Not Significant","Not Significant","Not Significant","Not Significant","0.0303093863657658","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","-0.0154845378603947","Not Significant","Not Significant","-0.0534289674508907","Not Significant"
20098,"Not Significant","Not Significant","Not Significant","0.046011704508516","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","-0.0273764789154946","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","-0.0258800041461306","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant"
20108,"Not Significant","Not Significant","Not Significant","Not Significant","0.0821085734225885","-0.0301636452187423","Not Significant","Not Significant","Not Significant","0.0402369357723241","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","0.031101583732372","-0.0826582788172778","0.0302351079944087","Not Significant","Not Significant","Not Significant","-0.0486468157286314","-0.0325785934185024","Not Significant","Not Significant","-0.0319222536397017"
20158,"Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","0.0125679503481771","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","-0.0210989916441486"
20099,"-0.0315195509003778","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","-0.0629648313586382","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant"
20109,"Not Significant","Not Significant","Not Significant","-0.030726581344958","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","0.0243752524403141","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","-0.0267055804184003","Not Significant","Not Significant","Not Significant"
20119,"Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant"
