"Year_Month","AAPL.Coeff","AXP.Coeff","BA.Coeff","CAT.Coeff","CSCO.Coeff","CVX.Coeff","DIS.Coeff","DOW.Coeff","GS.Coeff","HD.Coeff","IBM.Coeff","INTC.Coeff","JNJ.Coeff","JPM.Coeff","KO.Coeff","MCD.Coeff","MMM.Coeff","MRK.Coeff","MSFT.Coeff","NKE.Coeff","PFE.Coeff","PG.Coeff","TRV.Coeff","UNH.Coeff","UTX.Coeff","V.Coeff","VZ.Coeff","WBA.Coeff","WMT.Coeff","XOM.Coeff"
20071,"Not Significant","0.0146294389165996","0.019890402908928","Not Significant","0.0195718102963391","Not Significant","Not Significant","Not Significant","0.0234741771503927","0.0151646161422078","Not Significant","Not Significant","Not Significant","Not Significant","0.00360219659275847","0.0116865332591608","Not Significant","Not Significant","0.0176448842944032","Not Significant","0.0140089230672504","Not Significant","Not Significant","Not Significant","0.0170112400671001","Not Significant","0.0101616850102047","Not Significant","0.0102748768263277","Not Significant"
20081,"Not Significant","0.0166186683620337","0.0103862539886803","0.0102563165412968","0.0118693155763291","0.00820515236086507","0.00908510404772005","Not Significant","0.0091563691632378","Not Significant","0.0130767903300959","0.0179713055694798","Not Significant","0.0103025657066265","0.00863612398616959","Not Significant","0.00724083534403552","Not Significant","0.0105853909028004","0.00865471233055551","0.00618718443751509","0.0047367994793779","0.0110647564487695","Not Significant","0.00880461640126077","Not Significant","0.0121951564806364","Not Significant","Not Significant","0.00942440054665855"
20111,"Not Significant","Not Significant","Not Significant","0.00958305579679737","0.0162607791106507","0.0114276828274994","Not Significant","Not Significant","Not Significant","0.012800506256085","Not Significant","Not Significant","Not Significant","0.010414795008754","Not Significant","Not Significant","0.00951334905883329","Not Significant","0.0205789208868557","Not Significant","0.0123604479323284","Not Significant","Not Significant","Not Significant","0.0107947316512428","Not Significant","Not Significant","Not Significant","0.00869055228327729","0.011275925350882"
20121,"0.0226597448484381","0.0133650092810478","0.00827517242113156","0.0176932778391346","Not Significant","0.0166124804368492","0.0134281409436317","Not Significant","0.0194677639241767","0.00996293031518094","Not Significant","Not Significant","Not Significant","0.0138070939279299","0.011368121634527","Not Significant","0.00987040774852513","Not Significant","Not Significant","0.00838376269715872","0.00737152027995746","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","0.0155557941827516","Not Significant","0.0120506450274071"
20131,"Not Significant","0.0081579126861222","Not Significant","0.0141141688980599","0.0107989282039387","0.0117506380646686","0.0100377447345603","Not Significant","Not Significant","0.0116745957796208","Not Significant","Not Significant","0.00627062218072166","0.00735353681905691","0.0133099029822653","0.00620522045882581","0.00796807448515377","Not Significant","0.01549796467125","Not Significant","0.0114086560264892","0.0107596911998715","0.00628383571651849","Not Significant","0.0144495092215636","Not Significant","0.0131111744875729","Not Significant","Not Significant","0.0128456001713323"
20141,"Not Significant","Not Significant","Not Significant","0.0203547694269534","0.00892354769410931","0.00975088485711902","0.0145941375227508","Not Significant","Not Significant","Not Significant","Not Significant","0.0120898544505874","0.00728695427182514","0.00905721904437305","0.00871871637610956","0.00458829830527178","0.0114798121989326","Not Significant","Not Significant","0.0103330736413263","0.0105258627698385","Not Significant","0.0114967345607529","0.0120393180973018","0.0124295802809669","Not Significant","Not Significant","Not Significant","Not Significant","0.0105834928962802"
20171,"Not Significant","Not Significant","0.0173611083710906","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","0.0184282945498796","Not Significant","0.0232898391485223","0.02004383903128","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","0.0222868385320488","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","0.0216894470290954","Not Significant","Not Significant","Not Significant","Not Significant"
20181,"0.0120866549276853","Not Significant","Not Significant","Not Significant","0.011377050237601","0.0157221550161041","0.0137541211300325","Not Significant","Not Significant","0.014712669421384","Not Significant","0.0375935808955774","Not Significant","0.00569212448701881","0.00845107795901149","0.0129154165961768","0.0151028186577165","Not Significant","0.0142647911260038","Not Significant","0.0190926908604049","Not Significant","Not Significant","0.0183335838451964","Not Significant","0.0107656170396021","Not Significant","Not Significant","0.00896699674329763","0.010626414870401"
20191,"0.0205366058808824","0.0120129558080371","0.014311810717768","0.0183119788782011","0.0110459053004806","0.00843853859244732","0.0052896897860207","Not Significant","0.0217180491825431","0.0102484829737805","Not Significant","0.0158644064619034","Not Significant","0.0132137586141403","Not Significant","Not Significant","0.0145106116271505","Not Significant","0.0157559594752034","0.0061539588876946","Not Significant","Not Significant","0.00698908827761704","Not Significant","0.0138909607818932","0.0124357158924778","Not Significant","0.00590506618249782","Not Significant","0.0110465656813054"
20201,"0.016970360969683","0.00989184412494433","Not Significant","0.0140231825174318","0.0127880699881508","0.0102013598046079","0.0111705466782504","Not Significant","0.0192922638050142","0.0104908582481764","Not Significant","Not Significant","Not Significant","0.0147962332353287","Not Significant","0.00995910591233321","Not Significant","Not Significant","0.0149695236552055","0.00674116031095766","Not Significant","Not Significant","Not Significant","0.0164364677103895","0.00976327565006351","0.0144318526460476","Not Significant","Not Significant","Not Significant","0.0116903600710618"
